comfort_yuval_12_01_21C,miki_coldest_17.5c,miki_comfort_20c,cold_yuval_12_01_18C,miki_colder_1m,colder_yuval_12_01_16C
12_01_2023-13_09_07_1,18_01_2023-11_55_25_0,18_01_2023-10_56_37_0,12_01_2023-13_25_52_1,18_01_2023-11_51_57_0,12_01_2023-13_31_04_1
12_01_2023-13_09_07_2,18_01_2023-11_55_25_1,18_01_2023-10_56_37_1,12_01_2023-13_25_52_2,18_01_2023-11_51_57_1,12_01_2023-13_31_04_2
12_01_2023-13_09_07_3,18_01_2023-11_55_25_2,18_01_2023-10_56_37_2,12_01_2023-13_25_52_3,18_01_2023-11_51_57_2,12_01_2023-13_31_04_3
12_01_2023-13_09_07_4,18_01_2023-11_55_25_3,18_01_2023-10_56_37_3,12_01_2023-13_25_52_4,18_01_2023-11_51_57_3,12_01_2023-13_31_04_4
12_01_2023-13_09_07_5,18_01_2023-11_55_25_4,18_01_2023-10_56_37_4,12_01_2023-13_25_52_5,18_01_2023-11_51_57_4,12_01_2023-13_31_04_5
12_01_2023-13_09_07_6,18_01_2023-11_55_25_5,18_01_2023-10_56_37_5,12_01_2023-13_25_52_6,18_01_2023-11_51_57_5,12_01_2023-13_31_04_6
12_01_2023-13_09_07_7,18_01_2023-11_55_25_6,18_01_2023-10_56_37_6,12_01_2023-13_25_52_7,18_01_2023-11_51_57_6,12_01_2023-13_31_04_7
12_01_2023-13_09_07_8,18_01_2023-11_55_25_7,18_01_2023-10_56_37_7,12_01_2023-13_25_52_8,18_01_2023-11_51_57_7,12_01_2023-13_31_04_8
12_01_2023-13_09_07_9,18_01_2023-11_55_25_8,18_01_2023-10_56_37_8,12_01_2023-13_25_52_9,18_01_2023-11_51_57_8,12_01_2023-13_31_04_9
12_01_2023-13_09_17_1,18_01_2023-11_55_25_9,18_01_2023-10_56_37_9,12_01_2023-13_26_01_1,18_01_2023-11_51_57_9,12_01_2023-13_31_13_1
12_01_2023-13_09_17_2,18_01_2023-11_55_28_0,18_01_2023-10_56_41_0,12_01_2023-13_26_01_2,18_01_2023-11_52_01_0,12_01_2023-13_31_13_2
12_01_2023-13_09_17_3,18_01_2023-11_55_28_1,18_01_2023-10_56_41_1,12_01_2023-13_26_01_3,18_01_2023-11_52_01_1,12_01_2023-13_31_13_3
12_01_2023-13_09_17_4,18_01_2023-11_55_28_2,18_01_2023-10_56_41_2,12_01_2023-13_26_01_4,18_01_2023-11_52_01_2,12_01_2023-13_31_13_4
12_01_2023-13_09_17_5,18_01_2023-11_55_28_3,18_01_2023-10_56_41_3,12_01_2023-13_26_01_5,18_01_2023-11_52_01_3,12_01_2023-13_31_13_5
12_01_2023-13_09_17_6,18_01_2023-11_55_28_4,18_01_2023-10_56_41_4,12_01_2023-13_26_01_6,18_01_2023-11_52_01_4,12_01_2023-13_31_13_6
12_01_2023-13_09_17_7,18_01_2023-11_55_28_5,18_01_2023-10_56_41_5,12_01_2023-13_26_01_7,18_01_2023-11_52_01_5,12_01_2023-13_31_13_7
12_01_2023-13_09_17_8,18_01_2023-11_55_28_6,18_01_2023-10_56_41_6,12_01_2023-13_26_01_8,18_01_2023-11_52_01_6,12_01_2023-13_31_13_8
12_01_2023-13_09_17_9,18_01_2023-11_55_28_7,18_01_2023-10_56_41_7,12_01_2023-13_26_01_9,18_01_2023-11_52_01_7,12_01_2023-13_31_13_9
12_01_2023-13_09_26_1,18_01_2023-11_55_28_8,18_01_2023-10_56_41_8,12_01_2023-13_26_10_1,18_01_2023-11_52_01_8,12_01_2023-13_31_22_1
12_01_2023-13_09_26_2,18_01_2023-11_55_28_9,18_01_2023-10_56_41_9,12_01_2023-13_26_10_2,18_01_2023-11_52_01_9,12_01_2023-13_31_22_2
12_01_2023-13_09_26_3,18_01_2023-11_55_31_0,18_01_2023-10_56_44_0,12_01_2023-13_26_10_3,18_01_2023-11_52_04_0,12_01_2023-13_31_22_3
12_01_2023-13_09_26_4,18_01_2023-11_55_31_1,18_01_2023-10_56_44_1,12_01_2023-13_26_10_4,18_01_2023-11_52_04_1,12_01_2023-13_31_22_4
12_01_2023-13_09_26_5,18_01_2023-11_55_31_2,18_01_2023-10_56_44_2,12_01_2023-13_26_10_5,18_01_2023-11_52_04_2,12_01_2023-13_31_22_5
12_01_2023-13_09_26_6,18_01_2023-11_55_31_3,18_01_2023-10_56_44_3,12_01_2023-13_26_10_6,18_01_2023-11_52_04_3,12_01_2023-13_31_22_6
12_01_2023-13_09_26_7,18_01_2023-11_55_31_4,18_01_2023-10_56_44_4,12_01_2023-13_26_10_7,18_01_2023-11_52_04_4,12_01_2023-13_31_22_7
12_01_2023-13_09_26_8,18_01_2023-11_55_31_5,18_01_2023-10_56_44_5,12_01_2023-13_26_10_8,18_01_2023-11_52_04_5,12_01_2023-13_31_22_8
12_01_2023-13_09_26_9,18_01_2023-11_55_31_6,18_01_2023-10_56_44_6,12_01_2023-13_26_10_9,18_01_2023-11_52_04_6,12_01_2023-13_31_22_9
12_01_2023-13_09_36_1,18_01_2023-11_55_31_7,18_01_2023-10_56_44_7,12_01_2023-13_26_19_1,18_01_2023-11_52_04_7,12_01_2023-13_31_32_1
12_01_2023-13_09_36_2,18_01_2023-11_55_31_8,18_01_2023-10_56_44_8,12_01_2023-13_26_19_2,18_01_2023-11_52_04_8,12_01_2023-13_31_32_2
12_01_2023-13_09_36_3,18_01_2023-11_55_31_9,18_01_2023-10_56_44_9,12_01_2023-13_26_19_3,18_01_2023-11_52_04_9,12_01_2023-13_31_32_3
12_01_2023-13_09_36_4,18_01_2023-11_55_34_0,18_01_2023-10_56_47_0,12_01_2023-13_26_19_4,18_01_2023-11_52_07_0,12_01_2023-13_31_32_4
12_01_2023-13_09_36_5,18_01_2023-11_55_34_1,18_01_2023-10_56_47_1,12_01_2023-13_26_19_5,18_01_2023-11_52_07_1,12_01_2023-13_31_32_5
12_01_2023-13_09_36_6,18_01_2023-11_55_34_2,18_01_2023-10_56_47_2,12_01_2023-13_26_19_6,18_01_2023-11_52_07_2,12_01_2023-13_31_32_6
12_01_2023-13_09_36_7,18_01_2023-11_55_34_3,18_01_2023-10_56_47_3,12_01_2023-13_26_19_7,18_01_2023-11_52_07_3,12_01_2023-13_31_32_7
12_01_2023-13_09_36_8,18_01_2023-11_55_34_4,18_01_2023-10_56_47_4,12_01_2023-13_26_19_8,18_01_2023-11_52_07_4,12_01_2023-13_31_32_8
12_01_2023-13_09_36_9,18_01_2023-11_55_34_5,18_01_2023-10_56_47_5,12_01_2023-13_26_19_9,18_01_2023-11_52_07_5,12_01_2023-13_31_32_9
12_01_2023-13_09_46_1,18_01_2023-11_55_34_6,18_01_2023-10_56_47_6,12_01_2023-13_26_28_1,18_01_2023-11_52_07_6,12_01_2023-13_31_41_1
